Minuto,Factor_Carga,Temp_Ambiente,Temp_Aceite,Temp_Punto_Caliente,Vida_min,Vida_dias
3,0.10868,18.224,29.999765223846104,31.364225652974213,0.9449863557217775,0.0006562405248067899
4,0.10891999999999999,18.085,29.959935068292076,31.339761559978264,0.9490581637534006,0.0006590681692731948
4,0.10891999999999999,18.085,29.92488453140453,31.315430021443735,0.9531185424531751,0.0006618878767035938
4,0.10891999999999999,18.085,29.89404005894349,31.293017147284033,0.9571684214701278,0.0006647002926875887
4,0.10891999999999999,18.085,29.866896923177773,31.272936275077306,0.9612089163318192,0.0006675061918970966
4,0.10891999999999999,18.085,29.843010963703943,31.255137413626034,0.9652411116430609,0.0006703063275299034
4,0.10891999999999999,18.085,29.821991319366973,31.23942881058129,0.9692659962480791,0.0006731013862833883
4,0.10891999999999999,18.085,29.80349403235044,31.225588952413478,0.9732844508357366,0.0006758919797470393
4,0.10891999999999999,18.085,29.787216419775888,31.213404060265646,0.9772972528093582,0.0006786786477842766
4,0.10891999999999999,18.085,29.772892120710285,31.202679277689782,0.9813050860984536,0.0006814618653461483
4,0.10891999999999999,18.085,29.760286737532553,31.19324072706382,0.9853085516914175,0.0006842420497857066
4,0.10891999999999999,18.085,29.74919400033615,31.184934537527546,0.989308177526885,0.0006870195677270035
4,0.10891999999999999,18.085,29.739432391603316,31.17762499609797,0.9933044273785473,0.0006897947412351022
4,0.10891999999999999,18.085,29.730842175918422,31.17119256584078,0.9972977087061234,0.0006925678532681413
4,0.10891999999999999,18.085,29.723282786115714,31.165532015143324,1.0012883795510528,0.0006953391524660089
4,0.10891999999999999,18.085,29.716630523089332,31.160550726218446,1.0052767545809378,0.0006981088573478735
5,0.11304,17.943,29.699429315082646,31.228760988349887,1.0092966819929254,0.0007009004736061983
5,0.11304,17.943,29.684292252036762,31.240378857821046,1.013322008368409,0.0007036958391447284
5,0.11304,17.943,29.670971636556384,31.233314311096912,1.0173440509007556,0.0007064889242366358
5,0.11304,17.943,29.65924949493365,31.220923127172973,1.0213603400556532,0.000709278013927537
5,0.11304,17.943,29.648934010305645,31.207813748603233,1.0253705513256683,0.0007120628828650474
5,0.11304,17.943,29.639856383833,31.195489946634474,1.0293750573144305,0.0007148437898016879
5,0.11304,17.943,29.63186807253707,31.184363733463613,1.0333744194157817,0.0007176211245942929
5,0.11304,17.943,29.624838358596655,31.174472213216703,1.0373692140033306,0.000720395287502313
5,0.11304,17.943,29.61865221032909,31.165731799450654,1.0413599769539588,0.0007231666506624714
5,0.11304,17.943,29.61320839985363,31.158027422497682,1.0453471895280946,0.000725935548283399
5,0.11304,17.943,29.608417846635227,31.151242994765198,1.049331278277637,0.0007287022765816924
