SERIE;FECHA DE MUESTRA;HI;DGA;ACE
551873;25/02/2025;1;1;1
551874;25/02/2025;1;1;1
551875;25/02/2025;1;1;1
123157T;25/02/2025;1.081632653;1;1.285714286
123158T;25/02/2025;1;1;1
123159T;25/02/2025;1;1;1
123160T;25/02/2025;1;1;1
123161T;25/02/2025;1;1;1
132006T1;25/02/2025;1;1;1
146659T1;25/02/2025;1.214285714;1.3;1
146659T2;25/02/2025;1;1;1
146659T3;25/02/2025;1.214285714;1.3;1
146660T1;25/02/2025;1.214285714;1.3;1
146660T2;25/02/2025;1;1;1
146660T3;25/02/2025;1.025974026;1;1.090909091
147926T1;25/02/2025;1.214285714;1.3;1
149292T;25/02/2025;1.214285714;1.3;1
150700A/01;25/02/2025;1.214285714;1.3;1
150700A/02;25/02/2025;1.214285714;1.3;1
150700B/01;25/02/2025;1.214285714;1.3;1
160967T;25/02/2025;1;1;1
161159T2;25/02/2025;1;1;1
161566T;25/02/2025;1.207792208;1;1.727272727
161642T;25/02/2025;1.12987013;1;1.454545455
162031 T1;25/02/2025;1.3;;1.3
16625S;25/02/2025;1.077922078;1;1.272727273
16626S;25/02/2025;1.214285714;1.3;1
16627S;25/02/2025;1.474025974;1.3;1.909090909
16628S;25/02/2025;1;1;
16629S;25/02/2025;1.214285714;1.3;1
16630S;25/02/2025;1.292207792;1.3;1.272727273
16631S;25/02/2025;1.474025974;1.3;1.909090909
1ZBR60816;25/02/2025;1.214285714;1.3;1
1ZBR60817;25/02/2025;1.214285714;1.3;1
1ZBR60818;25/02/2025;1.214285714;1.3;1
230531-01;25/02/2025;3.05;3.05;
30N14081601;25/02/2025;1.214285714;1.3;1
30N14081602;25/02/2025;1.214285714;1.3;1
30N14081603;25/02/2025;1.214285714;1.3;1
5337PA196-02;25/02/2025;1.214285714;1.3;1
5337PA196-03;25/02/2025;1.214285714;1.3;1
5337PA196-04;25/02/2025;1.214285714;1.3;1
5337PA196-05;25/02/2025;1.214285714;1.3;1
5337PA196-06;25/02/2025;1;;1
6620 500;25/02/2025;1.214285714;1.3;1
6620 501;25/02/2025;1;1;1
6620 502;25/02/2025;1;;1
6620 503;25/02/2025;1;1;1
750005-01;25/02/2025;1.642857143;1.9;1
750006-01;25/02/2025;1;;1
750019-01;25/02/2025;1.642857143;1.9;1
760026-01;25/02/2025;1.321428571;1.45;1
760045-01;25/02/2025;1.214285714;1.3;1
760046-01;25/02/2025;1.214285714;1.3;1
760047-01;25/02/2025;1.214285714;1.3;1
770003-01;25/02/2025;1.214285714;1.3;1
770021-01;25/02/2025;1.214285714;1.3;1
770023-01;25/02/2025;1.214285714;1.3;1
770027-01;25/02/2025;1.214285714;1.3;1
770028-01;25/02/2025;1.295918367;1.3;1.285714286
B607398;25/02/2025;1;1;1
B608156;25/02/2025;1.103896104;1;1.363636364
B611544;25/02/2025;1;;1
B611545;25/02/2025;1;1;1
B615152;25/02/2025;1;1;1
B615153;25/02/2025;1;1;1
B93033;25/02/2025;1;1;1
D518290;25/02/2025;1;;1
D518291;25/02/2025;1.214285714;1.3;1
D518292;25/02/2025;1.214285714;1.3;1
D518293;25/02/2025;1.214285714;1.3;1
D518294;25/02/2025;1;;1
D518295;25/02/2025;1;;1
HST15082-1-1;25/02/2025;1.163265306;1;1.571428571
HST15082-1-2;25/02/2025;1.163265306;1;1.571428571
HST15082-1-3;25/02/2025;1.163265306;1;1.571428571
L-10228;25/02/2025;1.75;2.05;1
L-10802;25/02/2025;1.3;;1.3
L-10803;25/02/2025;1;;1
L-30108;25/02/2025;1;1;1
L-30155;25/02/2025;1;1;1
L-30157;25/02/2025;1;1;1
L-30158;25/02/2025;1.272108844;1;1.952380952
L-30229;25/02/2025;1.986394558;2;1.952380952
L-30230;25/02/2025;1;1;1
L-30249;25/02/2025;1;;1
L-30300;25/02/2025;1.5;1.5;
L-30306;25/02/2025;1;;1
L-30307;25/02/2025;1;;1
L-30330;25/02/2025;3.19047619;;3.19047619
L-30406;25/02/2025;1.233766234;1;1.818181818
L-30436;25/02/2025;1.25974026;1;1.909090909
L-30442;25/02/2025;1.103896104;1;1.363636364
L-30443;25/02/2025;1.081632653;1;1.285714286
L-30477;25/02/2025;1;1;1
L-30493;25/02/2025;1;1;1
L-30506;25/02/2025;1;1;1
L-30507;25/02/2025;1;1;1
LP-000471;25/02/2025;1.857142857;;1.857142857
LP-000472;25/02/2025;1;;1
LP-000473;25/02/2025;1.24025974;1.3;1.090909091
LP-000474;25/02/2025;1.266233766;1.3;1.181818182
LP-000475;25/02/2025;1.266233766;1.3;1.181818182
LP-000476;25/02/2025;1.5;1.3;2
LP-000584;25/02/2025;1.103896104;1;1.363636364
LP-000598;25/02/2025;1.103896104;1;1.363636364
P185848;25/02/2025;1;1;1
P186248;25/02/2025;1.214285714;1.3;1
P186249;25/02/2025;1.214285714;1.3;1
P186250;25/02/2025;1.214285714;1.3;1
P186254;25/02/2025;1;;1
P186255;25/02/2025;1.214285714;1.3;1
P186256;25/02/2025;1.214285714;1.3;1
P186257;25/02/2025;1.214285714;1.3;1
PA 277 - 01;25/02/2025;1.3;1.3;
PA 277 - 02;25/02/2025;1;1;
PA 277 - 03;25/02/2025;1;;1
PA196-01-04;25/02/2025;1;;1
PA277 -01;25/02/2025;1;;1
PA277- 02;25/02/2025;1;;1
PT9003-01;25/02/2025;1.12987013;1;1.454545455
V101038;25/02/2025;1.214285714;1.3;1
V101039;25/02/2025;1.214285714;1.3;1
V101040;25/02/2025;1.214285714;1.3;1
V101041;25/02/2025;1.214285714;1.3;1
V101042;25/02/2025;1.214285714;1.3;1
V101043;25/02/2025;1.214285714;1.3;1
V101044;25/02/2025;1;;1
V147101;25/02/2025;1;1;1
V147102;25/02/2025;1;1;1
V147103;25/02/2025;1;1;1
V147104;25/02/2025;1.555555556;;1.555555556
V147105;25/02/2025;1.214285714;1.3;1
V147106;25/02/2025;1;1;1
V147107;25/02/2025;1.214285714;1.3;1
V163201;25/02/2025;1;1;1
V180401;25/02/2025;1;1;1
V180402;25/02/2025;1;1;1
V180403;25/02/2025;1;1;1
59571;24/02/2025;1.642857143;1.9;1
59572;24/02/2025;1.694805195;1.9;1.181818182
59573;24/02/2025;1.321428571;1.45;1
100138;24/02/2025;1;1;1
146916;24/02/2025;1.214285714;1.3;1
146917;24/02/2025;1.214285714;1.3;1
146918;24/02/2025;1.214285714;1.3;1
147400;24/02/2025;1.214285714;1.3;1
185466;24/02/2025;1.081632653;1;1.285714286
185519;24/02/2025;1.321428571;1.45;1
185634;24/02/2025;1.642857143;1.9;1
185635;24/02/2025;1.642857143;1.9;1
185636;24/02/2025;1.642857143;1.9;1
185765;24/02/2025;1.214285714;1.3;1
185766;24/02/2025;1.214285714;1.3;1
185767;24/02/2025;1.214285714;1.3;1
338118;24/02/2025;3.7;3.7;
359110;24/02/2025;1;1;1
359111;24/02/2025;1.214285714;1.3;1
364072;24/02/2025;1;1;1
364073;24/02/2025;1;1;1
364074;24/02/2025;1.214285714;1.3;1
364075;24/02/2025;1.214285714;1.3;1
364076;24/02/2025;3;3;
364077;24/02/2025;1.214285714;1.3;1
364078;24/02/2025;1.214285714;1.3;1
551873;24/02/2025;1;1;1
551874;24/02/2025;1;1;1
551875;24/02/2025;1;1;1
123157T;24/02/2025;1.081632653;1;1.285714286
123158T;24/02/2025;1;1;1
123159T;24/02/2025;1;1;1
123160T;24/02/2025;1;1;1
123161T;24/02/2025;1;1;1
132006T1;24/02/2025;1;1;1
146659T1;24/02/2025;1.214285714;1.3;1
146659T2;24/02/2025;1;1;1
146659T3;24/02/2025;1.214285714;1.3;1
146660T1;24/02/2025;1.214285714;1.3;1
146660T2;24/02/2025;1;1;1
146660T3;24/02/2025;1.025974026;1;1.090909091
147926T1;24/02/2025;1.214285714;1.3;1
149292T;24/02/2025;1.214285714;1.3;1
150700A/01;24/02/2025;1.214285714;1.3;1
150700A/02;24/02/2025;1.214285714;1.3;1
150700B/01;24/02/2025;1.214285714;1.3;1
160967T;24/02/2025;1;1;1
161159T2;24/02/2025;1;1;1
161566T;24/02/2025;1.207792208;1;1.727272727
161642T;24/02/2025;1.12987013;1;1.454545455
162031 T1;24/02/2025;1.3;;1.3
16625S;24/02/2025;1.077922078;1;1.272727273
16626S;24/02/2025;1.214285714;1.3;1
16627S;24/02/2025;1.474025974;1.3;1.909090909
16628S;24/02/2025;1;1;
16629S;24/02/2025;1.214285714;1.3;1
16630S;24/02/2025;1.292207792;1.3;1.272727273
16631S;24/02/2025;1.474025974;1.3;1.909090909
1ZBR60816;24/02/2025;1.214285714;1.3;1
1ZBR60817;24/02/2025;1.214285714;1.3;1
1ZBR60818;24/02/2025;1.214285714;1.3;1
230531-01;24/02/2025;3.05;3.05;
30N14081601;24/02/2025;1.214285714;1.3;1
30N14081602;24/02/2025;1.214285714;1.3;1
30N14081603;24/02/2025;1.214285714;1.3;1
5337PA196-02;24/02/2025;1.214285714;1.3;1
5337PA196-03;24/02/2025;1.214285714;1.3;1
5337PA196-04;24/02/2025;1.214285714;1.3;1
5337PA196-05;24/02/2025;1.214285714;1.3;1
5337PA196-06;24/02/2025;1;;1
6620 500;24/02/2025;1.214285714;1.3;1
6620 501;24/02/2025;1;1;1
6620 502;24/02/2025;1;;1
6620 503;24/02/2025;1;1;1
750005-01;24/02/2025;1.642857143;1.9;1
750006-01;24/02/2025;1;;1
750019-01;24/02/2025;1.642857143;1.9;1
760026-01;24/02/2025;1.321428571;1.45;1
760045-01;24/02/2025;1.214285714;1.3;1
760046-01;24/02/2025;1.214285714;1.3;1
760047-01;24/02/2025;1.214285714;1.3;1
770003-01;24/02/2025;1.214285714;1.3;1
770021-01;24/02/2025;1.214285714;1.3;1
770023-01;24/02/2025;1.214285714;1.3;1
770027-01;24/02/2025;1.214285714;1.3;1
770028-01;24/02/2025;1.295918367;1.3;1.285714286
B607398;24/02/2025;1;1;1
B608156;24/02/2025;1.103896104;1;1.363636364
B611544;24/02/2025;1;;1
B611545;24/02/2025;1;1;1
B615152;24/02/2025;1;1;1
B615153;24/02/2025;1;1;1
B93033;24/02/2025;1;1;1
D518290;24/02/2025;1;;1
D518291;24/02/2025;1.214285714;1.3;1
D518292;24/02/2025;1.214285714;1.3;1
D518293;24/02/2025;1.214285714;1.3;1
D518294;24/02/2025;1;;1
D518295;24/02/2025;1;;1
HST15082-1-1;24/02/2025;1.163265306;1;1.571428571
HST15082-1-2;24/02/2025;1.163265306;1;1.571428571
HST15082-1-3;24/02/2025;1.163265306;1;1.571428571
L-10228;24/02/2025;1.75;2.05;1
L-10802;24/02/2025;1.3;;1.3
L-10803;24/02/2025;1;;1
L-30108;24/02/2025;1;1;1
L-30155;24/02/2025;1;1;1
L-30157;24/02/2025;1;1;1
L-30158;24/02/2025;1.272108844;1;1.952380952
L-30229;24/02/2025;1.986394558;2;1.952380952
L-30230;24/02/2025;1;1;1
L-30249;24/02/2025;1;;1
L-30300;24/02/2025;1.5;1.5;
L-30306;24/02/2025;1;;1
L-30307;24/02/2025;1;;1
L-30330;24/02/2025;3.19047619;;3.19047619
L-30406;24/02/2025;1.233766234;1;1.818181818
L-30436;24/02/2025;1.25974026;1;1.909090909
L-30442;24/02/2025;1.103896104;1;1.363636364
L-30443;24/02/2025;1.081632653;1;1.285714286
L-30477;24/02/2025;1;1;1
L-30493;24/02/2025;1;1;1
L-30506;24/02/2025;1;1;1
L-30507;24/02/2025;1;1;1
LP-000471;24/02/2025;1.857142857;;1.857142857
LP-000472;24/02/2025;1;;1
LP-000473;24/02/2025;1.24025974;1.3;1.090909091
LP-000474;24/02/2025;1.266233766;1.3;1.181818182
LP-000475;24/02/2025;1.266233766;1.3;1.181818182
LP-000476;24/02/2025;1.5;1.3;2
LP-000584;24/02/2025;1.103896104;1;1.363636364
LP-000598;24/02/2025;1.103896104;1;1.363636364
P185848;24/02/2025;1;1;1
P186248;24/02/2025;1.214285714;1.3;1
P186249;24/02/2025;1.214285714;1.3;1
P186250;24/02/2025;1.214285714;1.3;1
P186254;24/02/2025;1;;1
P186255;24/02/2025;1.214285714;1.3;1
P186256;24/02/2025;1.214285714;1.3;1
